id_codigo_depart;id_nivel_esco;anio;num_poblacion;tipo_metrica;tasa
5,;1,;2011,;1288473;Desercion;3,62%
5,;1,;2012,;1278686;Desercion;2,55%
5,;1,;2013,;1272458;Desercion;2,92%
5,;1,;2014,;1266533;Desercion;2,06%
5,;1,;2015,;1262800;Desercion;2,86%
5,;1,;2016,;1265147;Desercion;3,58%
5,;1,;2017,;1270105;Desercion;3,56%
5,;1,;2018,;1147598;Desercion;3,43%
5,;1,;2019,;1149985;Desercion;3,73%
5,;1,;2020,;1151149;Desercion;2,23%
5,;1,;2021,;1149861;Desercion;3,59%
5,;1,;2022,;1134099;Desercion;4,36%
5,;1,;2023,;1131546;Desercion;4,05%
8,;1,;2011,;523935;Desercion;2,6%
8,;1,;2012,;523911;Desercion;2,01%
8,;1,;2013,;522832;Desercion;1,58%
8,;1,;2014,;521917;Desercion;1,28%
8,;1,;2015,;520783;Desercion;1,74%
8,;1,;2016,;519509;Desercion;2,91%
8,;1,;2017,;518257;Desercion;2,03%
8,;1,;2018,;521630;Desercion;2,24%
8,;1,;2019,;533666;Desercion;1,72%
8,;1,;2020,;542750;Desercion;1,4%
8,;1,;2021,;546055;Desercion;2,15%
8,;1,;2022,;544473;Desercion;3,41%
8,;1,;2023,;545813;Desercion;3,34%
11,;1,;2011,;1479334;Desercion;10,05%
11,;1,;2012,;1470171;Desercion;
11,;1,;2013,;1466854;Desercion;0,59%
11,;1,;2014,;1460379;Desercion;2,7%
11,;1,;2015,;1455309;Desercion;3,48%
11,;1,;2016,;1453283;Desercion;2,17%
11,;1,;2017,;1452849;Desercion;2,21%
11,;1,;2018,;1179282;Desercion;1,9%
11,;1,;2019,;1181531;Desercion;2,12%
11,;1,;2020,;1181597;Desercion;0,52%
11,;1,;2021,;1174274;Desercion;1,07%
11,;1,;2022,;1150474;Desercion;4,14%
11,;1,;2023,;1141573;Desercion;3,24%
13,;1,;2011,;496676;Desercion;1,85%
13,;1,;2012,;495108;Desercion;3,37%
13,;1,;2013,;492500;Desercion;2,57%
13,;1,;2014,;490573;Desercion;1,92%
13,;1,;2015,;488886;Desercion;3,16%
13,;1,;2016,;487274;Desercion;3,58%
13,;1,;2017,;486067;Desercion;3,37%
13,;1,;2018,;455784;Desercion;3,65%
13,;1,;2019,;461988;Desercion;4,01%
13,;1,;2020,;466941;Desercion;1,77%
13,;1,;2021,;469046;Desercion;4,13%
13,;1,;2022,;464305;Desercion;4,92%
13,;1,;2023,;464501;Desercion;4,78%
15,;1,;2011,;300501;Desercion;2,4%
15,;1,;2012,;297132;Desercion;2,74%
15,;1,;2013,;292312;Desercion;2,3%
15,;1,;2014,;288366;Desercion;1,67%
15,;1,;2015,;284611;Desercion;1,8%
15,;1,;2016,;279627;Desercion;2,01%
15,;1,;2017,;275027;Desercion;3,55%
15,;1,;2018,;234116;Desercion;1,88%
15,;1,;2019,;234368;Desercion;2,03%
15,;1,;2020,;234540;Desercion;1,51%
15,;1,;2021,;234348;Desercion;2,75%
15,;1,;2022,;234191;Desercion;3,03%
15,;1,;2023,;233865;Desercion;2,31%
17,;1,;2011,;201185;Desercion;4,35%
17,;1,;2012,;198526;Desercion;4,7%
17,;1,;2013,;196982;Desercion;4,26%
17,;1,;2014,;195455;Desercion;3,01%
17,;1,;2015,;194108;Desercion;3,66%
